molecule_id,aop_oh_rate_constant,aop_oh_half_life_hours,aop_ozone_rate_constant,aop_ozone_half_life_hours
545178,2.982052e-10,0.43199999999999994,6.825e-16,0.40800000000000003
545180,1.971692e-10,0.648,4.5382999e-16,0.6000000000000001
545184,1.192731e-10,1.08,4.3e-16,0.648
545185,7.87356e-11,1.6320000000000001,2.5025e-19,1099.056
545186,2.202652e-10,0.5880000000000001,0,NA
545194,1.210735e-10,1.056,7.39375e-17,3.7199999999999998
545195,2.126069e-10,0.6000000000000001,7.39375e-17,3.7199999999999998
545196,3.163956e-10,0.40800000000000003,0,NA
545198,1.712962e-10,0.749,1.05e-17,26.183999999999997
545199,1.368616e-10,0.9359999999999999,1.2e-17,22.919999999999998
545200,1.541978e-10,0.8280000000000001,2.0174999e-16,1.368
545201,2.066651e-10,0.624,1e-15,0.264
545205,1.40211e-11,9.156,0,NA
545206,2.232233e-10,0.5760000000000001,9.3393753e-16,0.28800000000000003
545207,1.103037e-10,1.1640000000000001,1.2e-17,22.919999999999998
545208,2.451241e-10,0.528,8.7199997e-16,0.312
545213,2.988948e-10,0.43199999999999994,6.825e-16,0.40800000000000003
545215,7.09582e-11,1.8119999999999998,0,NA
545216,8.74523e-11,1.468,5.7175e-18,48.096000000000004
545218,5.63053e-11,2.2800000000000002,0,NA
545219,2.554735e-10,0.504,0,NA
545220,1.25553e-10,1.02,0,NA
545225,1.25553e-10,1.02,0,NA
545227,2.302753e-10,0.552,8.59375e-17,3.192
545229,1.89518e-11,6.767999999999999,1.75e-18,157.17600000000002
545230,3.410947e-10,0.372,0,NA
545231,2.768276e-10,0.46799999999999997,0,NA
545232,1.291142e-10,0.996,8.59375e-17,3.192
545233,2.803887e-10,0.45599999999999996,1.1375e-17,24.168
545236,7.59135e-11,1.6919999999999997,0,NA
545238,8.9618e-11,1.428,1.1375e-17,24.168
545241,6.89097e-11,1.8599999999999999,0,NA
545242,3.07951e-11,4.164,2.45e-19,1122.6
545243,8.79111e-11,1.464,8.53125e-17,3.216
545245,2.139285e-10,0.6000000000000001,4.9259373e-16,0.552
545246,1.293793e-10,0.996,7.39375e-17,3.7199999999999998
545333,2.648137e-10,0.48,2.29839996e-15,0.12
545248,1.982976e-10,0.648,8.59375e-17,3.192
545249,2.139285e-10,0.6000000000000001,4.9259373e-16,0.552
545251,1.520036e-10,0.8400000000000001,8.59375e-17,3.192
545253,1.327094e-10,0.972,8.59375e-17,3.192
545334,2.88716e-11,4.4399999999999995,1.1375e-17,24.168
545258,1.730176e-10,0.744,0,NA
545260,1.296436e-10,0.996,0,NA
545263,1.037196e-10,1.236,4.8048e-17,5.736
545264,3.032893e-10,0.42000000000000004,1.63e-15,0.168
21868,1.486117e-10,0.8639999999999999,4.3e-16,0.648
545266,1.307304e-10,0.984,4.3174999e-16,0.648
549024,9.40988e-11,1.368,7.39375e-17,3.7199999999999998
545268,1.280062e-10,1.008,2.94e-18,93.552
545269,2.234903e-10,0.5760000000000001,0,NA
545270,1.726868e-10,0.744,1.1375e-17,24.168
545271,3.69143e-11,3.4799999999999995,0,NA
545272,9.05854e-11,1.416,0,NA
545273,1.441931e-10,0.8879999999999999,1.2e-17,22.919999999999998
545276,2.07088e-10,0.624,8.59375e-17,3.192
545278,1.326096e-10,0.972,2.94e-18,93.552
545281,2.258355e-10,0.5640000000000001,8.59375e-17,3.192
545283,3.988082e-10,0.324,8.59375e-17,3.192
545285,2.722043e-10,0.47153333333333336,5.8e-16,0.4742
545286,1.085928e-10,1.1760000000000002,7.39375e-17,3.7199999999999998
545287,1.315317e-10,0.972,0,NA
545288,9.62264e-11,1.332,0,NA
545290,1.294988e-10,0.996,7.39375e-17,3.7199999999999998
545292,2.260864e-10,0.5640000000000001,1.5356249e-16,1.7999999999999998
545293,1.857669e-10,0.6960000000000001,8.59375e-17,3.192
545297,2.385204e-10,0.54,1.34059372e-15,0.21599999999999997
545298,2.885767e-10,0.44399999999999995,2.3375e-17,11.76
545299,3.14119e-11,4.0920000000000005,0,NA
545300,1.619913e-10,0.792,4.4200001e-16,0.624
