molecule_id,bp_est,mp_est,vp_est
525292,740.9,325.13,2.91e-22
525293,418.25,173.71,1.55e-9
525294,655.91,285.43,1.38e-19
525295,639.87,277.93,2.81e-18
525296,639.87,277.93,2.81e-18
525297,416.04,164.45,2.29e-9
525299,453.48,186.04,9.93e-11
525300,NA,NA,NA
525301,482.62,204.48,2.69e-12
525304,376.58,138.6,2.19e-6
525305,560.07,240.66,9.03e-16
525306,587.51,234.45,8.63e-13
525308,577.83,229.6,4.62e-15
525310,481,200.68,1.16e-9
525311,562.64,241.86,3.09e-12
525312,571.88,246.17,4.47e-15
525314,562.64,241.86,3.09e-12
525315,528.96,226.13,3.51e-11
525316,615.63,266.61,2.45e-17
525317,542.25,232.33,1.35e-11
525318,558.12,239.75,1.44e-14
525319,615.63,266.61,2.45e-17
525321,608.98,263.5,4.43e-17
525322,1383.68,349.84,0
525324,264.24,63.31,0.0094
525325,598.1,258.43,2.84e-17
525328,832.85,349.84,7.99e-21
525329,646.71,281.13,3.24e-19
525330,607.78,262.95,1.17e-17
525331,382.91,115.04,7.55e-8
525333,497.5,184.04,6.95e-10
525336,598.06,236.46,8.84e-16
525337,429.9,160.77,9.8e-10
525338,375.51,95.75,6.7e-6
525339,523.57,310.39,2.22e-14
525340,707.9,309.71,1.88e-19
525341,488.98,198.54,7.72e-10
525342,469.22,194,2.69e-11
525344,388.06,84.05,4.41e-6
525345,454.75,176.15,1.01e-8
525346,255.47,55.96,0.00116
525349,597.21,258.01,1.98e-14
525355,567.35,242.24,2.31e-12
525356,790.32,348.21,4.22e-25
525357,616.21,266.88,4.45e-15
525358,586.78,253.13,1.25e-15
525360,557.2,239.32,4.48e-13
525362,751.5,330.08,6.98e-22
525364,813.53,349.84,5.99e-26
525365,579.53,249.75,2.33e-15
525368,535.34,193.21,6.46e-12
525369,255.71,56.82,0.0101
525370,653.78,284.43,1.68e-19
