molecule_id,vp_est,total_atom_count,molecular_weight,alogp,number_of_minimal_rings,contains_ring_sugars
236499,1.5600000000000002e-21,55,462.41,0.06,4,TRUE
236500,3.39e-29,120,784.07,5.52,3,FALSE
523974,6.25e-19,66,524.52,4.8,3,FALSE
523975,2.09e-13,44,315.37,1.44,2,FALSE
523977,1.32e-13,40,328.32,2.71,3,FALSE
236504,1.04e-13,83,514.7,5.57,4,FALSE
523993,1.38e-14,62,398.5,0.88,4,TRUE
523998,2.16e-8,46,282.38,1.65,3,FALSE
523999,4.35e-19,51,363.41,0.64,2,FALSE
524001,6.03e-16,84,504.71,5.04,3,FALSE
524002,4.46e-8,41,266.34,1.36,4,FALSE
524010,6.77e-10,57,322.49,3.11,4,FALSE
236515,1.91e-12,55,350.46,2.65,3,FALSE
524013,7.8e-9,52,302.46,4.6,2,FALSE
524017,4.73e-17,77,585.05,2.03,4,FALSE
524019,7.8e-8,51,316.44,4.63,3,FALSE
524020,1.27e-21,75,480.65,4.24,5,FALSE
524021,3.23e-4,36,185.31,2.58,0,FALSE
524029,2.58e-10,57,344.5,4.91,1,FALSE
525667,8.27e-38,95,708.78,-1.51,3,FALSE
236524,2.93e-12,76,414.67,6.38,4,FALSE
524030,2.2e-9,56,306.49,4.79,1,FALSE
524032,2.42e-17,76,599.03,1.53,4,FALSE
524033,4.73e-6,53,318.46,4.32,4,FALSE
524040,2.55e-7,61,374.52,4.77,2,FALSE
236526,4.07e-13,75,523.63,5.11,5,FALSE
524043,6.52e-11,41,292.33,1.36,3,FALSE
524044,8.34e-12,79,432.69,7.1,4,FALSE
524046,1.06e-6,24,318.01,3.19,2,FALSE
306863,4.56e-28,84,534.7,1.39,1,FALSE
524050,6.29e-13,40,333.34,3.2,5,FALSE
524051,2.5499999999999998e-24,74,494.63,3.13,5,FALSE
524053,0,165,1097.31,2.1,1,FALSE
524055,4.52e-9,53,314.47,4.29,4,FALSE
524057,1.59e-18,97,507.84,8.56,0,FALSE
524058,1.25e-15,47,377.4,2.9,5,FALSE
524059,2.9e-19,57,470.57,4.44,3,FALSE
524060,1.29e-7,58,356.51,4.72,4,FALSE
524061,1.59e-8,32,246.26,2.78,2,FALSE
524062,5.4e-11,54,386.44,4.31,2,FALSE
236534,2.28e-14,98,572.87,9.99,6,FALSE
