molecule_id,cluster_e,cluster_a,aop_oh_half_life_hours,is_stable
3977,3,7,2.052,TRUE
4040,3,7,2.436,TRUE
4091,3,7,14.16,TRUE
4123,3,7,2.904,TRUE
4124,3,7,9.876,TRUE
4125,3,7,2.904,TRUE
4126,3,7,5.81,TRUE
4127,3,7,9.876,TRUE
4128,3,7,10.548,TRUE
4129,3,7,4.692,TRUE
4130,3,7,13.788,TRUE
4144,3,7,4.5120000000000005,TRUE
4195,3,7,9.744,TRUE
4281,3,7,5.795999999999999,TRUE
4283,3,7,7.26,TRUE
4297,2_1,7,0.72,TRUE
4306,3,7,4.5,TRUE
4307,3,7,3.684,TRUE
4311,3,7,9.192,TRUE
4313,3,7,1.404,TRUE
4316,3,7,3.5519999999999996,TRUE
4320,3,7,5.172,TRUE
4329,3,7,0.708,TRUE
4479,3,7,13.344,TRUE
4575,3,7,13.38,TRUE
4612,3,7,3.036,TRUE
4619,3,7,5.712,TRUE
4629,3,7,10.536,TRUE
4637,3,7,37.032,TRUE
4671,3,7,3.948,TRUE
4685,3,7,1.404,TRUE
4698,3,7,4.368,TRUE
4710,3,7,56.004,TRUE
4730,3,7,0.996,TRUE
4735,3,7,1.7039999999999995,TRUE
4737,3,7,6.252000000000001,TRUE
4744,3,7,27.9,TRUE
4746,3,7,20.112,TRUE
4748,3,7,1.308,TRUE
4752,3,7,6.336,TRUE
4759,3,7,21.336,TRUE
4762,3,7,1.696,TRUE
4763,3,7,0.948,TRUE
4764,3,7,0.72,TRUE
4766,3,7,0.72,TRUE
4767,3,7,2.082,TRUE
4769,8,7,0.72,TRUE
4770,3,7,4.8839999999999995,TRUE
4771,3,7,3.888,TRUE
4772,3,7,1.392,TRUE
4773,3,7,12.636,TRUE
4774,3,7,3.036,TRUE
4775,3,7,3.036,TRUE
4821,3,7,1.236,TRUE
4852,3,7,17.664,TRUE
4866,3,7,7.308,TRUE
4868,3,7,14.604,TRUE
4889,3,7,6.18,TRUE
4895,3,7,3.132,TRUE
4896,2_1,7,1.416,TRUE
4901,3,7,3.107,TRUE
4914,2_1,7,1.452,TRUE
4917,3,7,0.996,TRUE
5771,3,7,246.82799999999995,TRUE
4925,3,7,3.06,TRUE
4927,3,7,1.548,TRUE
4992,3,7,6.888,TRUE
4998,3,7,3.72,TRUE
5005,3,7,174.28799999999998,TRUE
5010,2_1,7,0.8879999999999999,TRUE
5020,3,7,6.863999999999999,TRUE
5031,3,7,1.654,TRUE
5042,3,7,2.736,TRUE
5060,3,7,16.152,TRUE
5064,3,7,3.24,TRUE
5090,3,7,3.036,TRUE
5098,3,7,0.731,TRUE
5124,3,7,2.508,TRUE
5153,3,7,1.608,TRUE
5171,3,7,1.104,TRUE
5176,3,7,21.683999999999997,TRUE
5188,3,7,0.636,TRUE
5207,3,7,15.456,TRUE
5209,3,7,2.268,TRUE
5211,3,7,2.268,TRUE
5226,3,7,1.141,TRUE
5261,3,7,11.856,TRUE
5269,3,7,1.458,TRUE
5278,3,7,11.604,TRUE
5744,3,7,92.484,TRUE
5747,3,7,16.308,TRUE
5762,3,7,123.42,TRUE
